1.8057,1.0311,0.7205,0.6935,
1.7996,1.0071,0.6884,0.7249,
1.7964,0.9744,0.6415,0.7670,
1.7916,0.9548,0.6175,0.7865,
1.7886,0.9308,0.5812,0.8137,
1.7745,0.8923,0.5258,0.8505,
1.7641,0.8723,0.4974,0.8675,
1.7535,0.8509,0.4686,0.8834,
1.7389,0.8222,0.4280,0.9037,
1.7260,0.8044,0.3898,0.9208,
1.7126,0.7892,0.3596,0.9331,
1.6959,0.7733,0.3326,0.9430,
1.6820,0.7560,0.3014,0.9534,
1.6601,0.7449,0.2603,0.9655,
1.6300,0.7238,0.2102,0.9776,
1.6089,0.7149,0.1794,0.9837,
1.5908,0.7036,0.1817,0.9832,
1.5674,0.6969,0.1788,0.9837,
1.5463,0.6912,0.1718,0.9851,
1.5222,0.6830,0.1699,0.9854,
1.5026,0.6785,0.1669,0.9859,
1.4834,0.6662,0.1633,0.9864,
1.4417,0.6470,0.1608,0.9869,
1.4121,0.6394,0.1577,0.9875,
1.3868,0.6303,0.1536,0.9881,
1.3614,0.6196,0.1492,0.9888,
1.3222,0.6030,0.1460,0.9893,
1.2887,0.5954,0.1399,0.9902,
1.2580,0.5869,0.1372,0.9905,
1.2150,0.5734,0.1355,0.9908,
1.1832,0.5662,0.1316,0.9913,
1.1555,0.5615,0.1283,0.9917,
1.1293,0.5520,0.1245,0.9922,
1.0940,0.5442,0.1197,0.9928,
1.0706,0.5373,0.1192,0.9929,
1.0501,0.5349,0.1183,0.9930,
1.0307,0.5276,0.1266,0.9919,
1.0103,0.5177,0.1378,0.9904,
0.9902,0.5135,0.1436,0.9896,
0.9591,0.5083,0.1574,0.9875,
0.9336,0.5039,0.1688,0.9856,
0.9114,0.4900,0.1790,0.9838,
0.8912,0.4800,0.1919,0.9812,
0.8674,0.4699,0.2079,0.9780,
0.8331,0.4495,0.2221,0.9749,
0.8024,0.4378,0.2309,0.9729,
0.7751,0.4186,0.2451,0.9695,
0.7559,0.4083,0.2571,0.9664,
0.7331,0.3922,0.2682,0.9634,
0.7101,0.3773,0.2794,0.9602,
0.6759,0.3522,0.3001,0.9539,
0.6523,0.3329,0.3132,0.9497,
0.6284,0.3157,0.3259,0.9454,
0.6088,0.2991,0.3337,0.9427,
0.5983,0.2808,0.3332,0.9427,
0.5769,0.2719,0.3329,0.9427,
0.5627,0.2571,0.3365,0.9416,
0.5366,0.2343,0.3443,0.9389,
0.5130,0.2187,0.3446,0.9387,
0.4946,0.1953,0.3469,0.9379,
0.4744,0.1836,0.3485,0.9373,
0.4674,0.1643,0.3511,0.9363,
0.4398,0.1500,0.3351,0.9422,
0.4219,0.1374,0.3249,0.9457,
0.4083,0.1198,0.3138,0.9494,
0.3879,0.1079,0.3043,0.9526,
0.3692,0.0921,0.2973,0.9548,
0.3515,0.0823,0.2847,0.9586,
0.3321,0.0724,0.2726,0.9621,
0.3067,0.0603,0.2527,0.9675,
0.2872,0.0465,0.2340,0.9722,
0.2700,0.0339,0.2209,0.9753,
0.2488,0.0262,0.1965,0.9805,
0.2270,0.0175,0.1780,0.9840,
0.2079,0.0075,0.1620,0.9868,
0.1870,0.0079,0.1403,0.9901,
0.1697,-0.0042,0.1148,0.9934,
0.1484,-0.0090,0.0893,0.9960,
0.1273,-0.0088,0.0530,0.9986,
0.1070,-0.0102,0.0166,0.9999,
0.0884,-0.0271,0.0015,0.9999,
0.0642,-0.0199,-0.0148,0.9997,
0.0328,-0.0164,-0.0193,0.9998,
0.0124,-0.0132,-0.0207,0.9998,
-0.0083,-0.0128,-0.0270,0.9996,
-0.0283,-0.0113,-0.0331,0.9994,
